WKT,Name,Category,Latitude,Longitude
"POINT (-0.1455274 5.6284836)",Sub Haus,Restaurants & Fast Food,5.6284836,-0.1455274
"POINT (-0.1759661386 5.599761858)",FOOD 101,Restaurants & Fast Food,5.599761858,-0.1759661386
"POINT (-0.1517108 5.64174)",Telecel A&C Mall - Access Route Services,Mobile Phones & Accessories,5.64174,-0.1517108
"POINT (-0.1731116292 5.62218733)",Telecel Accra Mall Store - Bliss Solutions Ltd,Mobile Phones & Accessories,5.62218733,-0.1731116292
"POINT (-0.1974587878 5.560480663)",NexuVolt Techmart,Electronics & Appliances,5.560480663,-0.1974587878
"POINT (-0.1985102138 5.560736944)",ZentroWave Electra,Electronics & Appliances,5.560736944,-0.1985102138
"POINT (-0.1967077693 5.559135189)",AgroNova Food Mart,Supermarkets,5.559135189,-0.1967077693
"POINT (-0.2108447 5.5764222)",Devnik Ghana - Kokomlemle,Computers & Games,5.5764222,-0.2108447
"POINT (-0.2938888 5.6710418)",UNISEC TECHNOLOGIES,Computers & Games,5.6710418,-0.2938888
"POINT (-0.2092012 5.5558893)",Devnik Ghana - Adabraka,Computers & Games,5.5558893,-0.2092012
"POINT (-0.2261676 5.624583)",Skin Gourmet,Spas & Salons,5.624583,-0.2261676
"POINT (-0.1266064 5.6376136)",Vista Pieces,Home & Office,5.6376136,-0.1266064
"POINT (-0.2154963003 5.572313154)",Amazing Spring,Mobile Phones & Accessories,5.572313154,-0.2154963003
"POINT (-0.2153510282 5.572695812)",K N Phone,Mobile Phones & Accessories,5.572695812,-0.2153510282
"POINT (-0.2152024 5.5731408)",Heroes Gate Enterprise - Odo Rice,Mobile Phones & Accessories,5.5731408,-0.2152024
"POINT (-0.2152024 5.5731408)",Devices and Technologies,Computers & Games,5.5731408,-0.2152024
"POINT (-0.2152024 5.5731408)",Star Alert,Computers & Games,5.5731408,-0.2152024
"POINT (-0.2152024 5.5731408)",Shaba iShop,Mobile Phones & Accessories,5.5731408,-0.2152024
"POINT (-0.2152024 5.5731408)",Maxaddy Bite Zone,Computers & Games,5.5731408,-0.2152024
"POINT (-0.2152024 5.5731408)",Fatfam Systems Enterprise,Mobile Phones & Accessories,5.5731408,-0.2152024
