Slot ID,Zone Rank,Zone ID,Zone,Category,Wave,Priority Tier,Suggested Sourcing Focus,Projected Monthly GMV (GHS),Projected Annual GMV (GHS),Ops Rationale
1,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Supermarkets,1,High,Anchor + essential merchants,24525.0,294300.0,Central Accra: High-frequency anchor category; use for basket building and repeat purchase.
2,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Supermarkets,1,High,Anchor + essential merchants,24525.0,294300.0,Central Accra: High-frequency anchor category; use for basket building and repeat purchase.
3,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Supermarkets,1,High,Anchor + essential merchants,24525.0,294300.0,Central Accra: High-frequency anchor category; use for basket building and repeat purchase.
4,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Supermarkets,1,High,Anchor + essential merchants,24525.0,294300.0,Central Accra: High-frequency anchor category; use for basket building and repeat purchase.
5,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Supermarkets,1,High,Anchor + essential merchants,24525.0,294300.0,Central Accra: High-frequency anchor category; use for basket building and repeat purchase.
6,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Supermarkets,1,High,Anchor + essential merchants,24525.0,294300.0,Central Accra: High-frequency anchor category; use for basket building and repeat purchase.
7,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Supermarkets,1,High,Anchor + essential merchants,24525.0,294300.0,Central Accra: High-frequency anchor category; use for basket building and repeat purchase.
8,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Supermarkets,1,High,Anchor + essential merchants,24525.0,294300.0,Central Accra: High-frequency anchor category; use for basket building and repeat purchase.
9,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Supermarkets,1,High,Anchor + essential merchants,24525.0,294300.0,Central Accra: High-frequency anchor category; use for basket building and repeat purchase.
10,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Supermarkets,1,High,Anchor + essential merchants,24525.0,294300.0,Central Accra: High-frequency anchor category; use for basket building and repeat purchase.
11,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Supermarkets,1,High,Anchor + essential merchants,24525.0,294300.0,Central Accra: High-frequency anchor category; use for basket building and repeat purchase.
12,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Supermarkets,1,High,Anchor + essential merchants,24525.0,294300.0,Central Accra: High-frequency anchor category; use for basket building and repeat purchase.
13,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Supermarkets,1,High,Anchor + essential merchants,24525.0,294300.0,Central Accra: High-frequency anchor category; use for basket building and repeat purchase.
14,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Supermarkets,1,High,Anchor + essential merchants,24525.0,294300.0,Central Accra: High-frequency anchor category; use for basket building and repeat purchase.
15,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Supermarkets,1,High,Anchor + essential merchants,24525.0,294300.0,Central Accra: High-frequency anchor category; use for basket building and repeat purchase.
16,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Supermarkets,1,High,Anchor + essential merchants,24525.0,294300.0,Central Accra: High-frequency anchor category; use for basket building and repeat purchase.
17,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Supermarkets,1,High,Anchor + essential merchants,24525.0,294300.0,Central Accra: High-frequency anchor category; use for basket building and repeat purchase.
18,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Supermarkets,1,High,Anchor + essential merchants,24525.0,294300.0,Central Accra: High-frequency anchor category; use for basket building and repeat purchase.
19,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Supermarkets,1,High,Anchor + essential merchants,24525.0,294300.0,Central Accra: High-frequency anchor category; use for basket building and repeat purchase.
20,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Supermarkets,1,High,Anchor + essential merchants,24525.0,294300.0,Central Accra: High-frequency anchor category; use for basket building and repeat purchase.
21,1,5,Central Accra (Circle / Kokomlemle / Adabraka),Supermarkets,1,High,Anchor + essential merchants,24525.0,294300.0,Central Accra: High-frequency anchor category; use for basket building and repeat purchase.
